iata,type,name_en,iana timezone
NTT,city,Niuatoputapu,Pacific/Tongatapu
NTT,airport,Kuini Lavenia,Pacific/Tongatapu
TBU,city,Nuku'alofa,Pacific/Tongatapu
TBU,airport,Fua'amotu International,Pacific/Tongatapu
ABF,city,Abaiang,Pacific/Tarawa
ABF,airport,Abaiang,Pacific/Tarawa
AEA,city,Abemama Atoll,Pacific/Tarawa
AEA,airport,Abemama Atoll,Pacific/Tarawa
AIS,city,Arorae Island,Pacific/Tarawa
AIS,airport,Arorae Island,Pacific/Tarawa
BBG,city,Butaritari,Pacific/Tarawa
BBG,airport,Butaritari,Pacific/Tarawa
BEZ,city,Beru,Pacific/Tarawa
BEZ,airport,Beru,Pacific/Tarawa
MTK,city,Makin Island,Pacific/Tarawa
MTK,airport,Makin Island,Pacific/Tarawa
MZK,city,Marakei,Pacific/Tarawa
MZK,airport,Marakei,Pacific/Tarawa
NIG,city,Nikunau,Pacific/Tarawa
NIG,airport,Nikunau,Pacific/Tarawa
NON,city,Rotima,Pacific/Tarawa
NON,airport,Nonouti,Pacific/Tarawa
TBF,city,Tabiteuea North,Pacific/Tarawa
TBF,airport,Tabiteuea North,Pacific/Tarawa
TRW,airport,Bonriki,Pacific/Tarawa
TRW,city,Tarawa,Pacific/Tarawa
TSU,city,Tabiteuea South,Pacific/Tarawa
TSU,airport,Tabiteuea South,Pacific/Tarawa
AAA,airport,Anaa,Pacific/Tahiti
AAA,city,Anaa,Pacific/Tahiti
AHE,city,Ahe,Pacific/Tahiti
AHE,airport,Ahe Airport,Pacific/Tahiti
APK,city,Apataki,Pacific/Tahiti
APK,airport,Apataki,Pacific/Tahiti
AXR,city,Arutua,Pacific/Tahiti
AXR,airport,Arutua,Pacific/Tahiti
BOB,airport,Motu Mute,Pacific/Tahiti
BOB,city,Bora Bora,Pacific/Tahiti
FAC,city,Faaite,Pacific/Tahiti
FAC,airport,Faaite,Pacific/Tahiti
FAV,city,Fakarava,Pacific/Tahiti
FAV,airport,Fakarava,Pacific/Tahiti
FGU,city,Fangatau,Pacific/Tahiti
FGU,airport,Fangatau,Pacific/Tahiti
FHZ,city,Fakahina,Pacific/Tahiti
FHZ,airport,Fakahina,Pacific/Tahiti
HDH,city,Oahu,Pacific/Tahiti
HDH,airport,Dillingham Airfield,Pacific/Tahiti
HHZ,city,Hikueru,Pacific/Tahiti
HHZ,airport,Hikueru,Pacific/Tahiti
HOI,city,Hao Island,Pacific/Tahiti
HOI,airport,Hao Island,Pacific/Tahiti
HUH,city,Huahine,Pacific/Tahiti
HUH,airport,Huahine,Pacific/Tahiti
KKR,city,Kaukura Atoll,Pacific/Tahiti
KKR,airport,Kaukura Atoll,Pacific/Tahiti
MAU,city,Maupiti,Pacific/Tahiti
MAU,airport,Maupiti,Pacific/Tahiti
MKP,city,Makemo,Pacific/Tahiti
MKP,airport,Makemo,Pacific/Tahiti
MOZ,airport,Temae,Pacific/Tahiti
MOZ,city,Moorea,Pacific/Tahiti
MVT,city,Mataiva,Pacific/Tahiti
MVT,airport,Mataiva,Pacific/Tahiti
NAU,city,Napuka Island,Pacific/Tahiti
NAU,airport,Napuka Island,Pacific/Tahiti
NUK,city,Nukutavake,Pacific/Tahiti
NUK,airport,Nukutavake,Pacific/Tahiti
PKP,city,Puka Puka,Pacific/Tahiti
PKP,airport,Puka Puka,Pacific/Tahiti
PPT,airport,Faa'a,Pacific/Tahiti
PPT,city,Papeete,Pacific/Tahiti
PUK,city,Pukarua,Pacific/Tahiti
PUK,airport,Pukarua,Pacific/Tahiti
REA,city,Reao,Pacific/Tahiti
REA,airport,Reao,Pacific/Tahiti
RFP,city,Raiatea,Pacific/Tahiti
RFP,airport,Raiatea,Pacific/Tahiti
RGI,airport,Rangiroa,Pacific/Tahiti
RGI,city,Rangiroa,Pacific/Tahiti
RUR,city,Rurutu,Pacific/Tahiti
RUR,airport,Rurutu,Pacific/Tahiti
TIH,city,Tikehau Atoll,Pacific/Tahiti
TIH,airport,Tikehau Atoll,Pacific/Tahiti
TJN,city,Takume,Pacific/Tahiti
TJN,airport,Takume,Pacific/Tahiti
TKP,city,Takapoto,Pacific/Tahiti
TKP,airport,Takapoto,Pacific/Tahiti
TKV,city,Tatakoto,Pacific/Tahiti
TKV,airport,Tatakoto,Pacific/Tahiti
TKX,city,Takaroa,Pacific/Tahiti
TKX,airport,Takaroa,Pacific/Tahiti
TTI,city,Tetiaroa Island,Pacific/Tahiti
TTI,airport,Tetiaroa Island,Pacific/Tahiti
TUB,city,Tubuai,Pacific/Tahiti
TUB,airport,Tubuai,Pacific/Tahiti
VHZ,city,Vahitahi,Pacific/Tahiti
VHZ,airport,Vahitahi,Pacific/Tahiti
XMH,city,Manihi,Pacific/Tahiti
XMH,airport,Manihi,Pacific/Tahiti
ROP,city,Rota,Pacific/Saipan
ROP,airport,Rota,Pacific/Saipan
SPN,city,Obyan,Pacific/Saipan
SPN,airport,Saipan International,Pacific/Saipan
TIQ,city,Tinian,Pacific/Saipan
TIQ,airport,Tinian International,Pacific/Saipan
AIT,city,Aitutaki,Pacific/Rarotonga
AIT,airport,Aitutaki,Pacific/Rarotonga
AIU,city,Atiu Island,Pacific/Rarotonga
AIU,airport,Atiu Island,Pacific/Rarotonga
MGS,city,Mangaia Island,Pacific/Rarotonga
MGS,airport,Mangaia Island,Pacific/Rarotonga
MHX,city,Manihiki Island,Pacific/Rarotonga
MHX,airport,Manihiki Island,Pacific/Rarotonga
MOI,city,Mitiaro Island,Pacific/Rarotonga
MOI,airport,Mitiaro Island,Pacific/Rarotonga
MUK,city,Mauke Island,Pacific/Rarotonga
MUK,airport,Mauke Island,Pacific/Rarotonga
PYE,city,Penrhyn Island,Pacific/Rarotonga
PYE,airport,Penrhyn Island,Pacific/Rarotonga
RAR,city,Rarotonga,Pacific/Rarotonga
RAR,airport,Rarotonga,Pacific/Rarotonga
ABP,city,Atkamba,Pacific/Port_Moresby
ABP,airport,Atkamba,Pacific/Port_Moresby
ABW,city,Abau,Pacific/Port_Moresby
ABW,airport,Abau,Pacific/Port_Moresby
AEK,city,Aseki,Pacific/Port_Moresby
AEK,airport,Aseki,Pacific/Port_Moresby
AFR,city,Afore,Pacific/Port_Moresby
AFR,airport,Afore,Pacific/Port_Moresby
AGG,city,Angoram,Pacific/Port_Moresby
AGG,airport,Angoram,Pacific/Port_Moresby
AGK,city,Kagua,Pacific/Port_Moresby
AGK,airport,Kagua,Pacific/Port_Moresby
AGL,city,Wanigela,Pacific/Port_Moresby
AGL,airport,Wanigela,Pacific/Port_Moresby
AIE,city,Aiome,Pacific/Port_Moresby
AIE,airport,Aiome,Pacific/Port_Moresby
AKG,city,Anguganak,Pacific/Port_Moresby
AKG,airport,Anguganak,Pacific/Port_Moresby
AMF,city,Ama,Pacific/Port_Moresby
AMF,airport,Ama,Pacific/Port_Moresby
AMG,city,Amboin,Pacific/Port_Moresby
AMG,airport,Amboin,Pacific/Port_Moresby
AMU,city,Amanab,Pacific/Port_Moresby
AMU,airport,Amanab,Pacific/Port_Moresby
AOA,city,Aroa,Pacific/Port_Moresby
AOA,airport,Aroa,Pacific/Port_Moresby
AOB,city,Annanberg,Pacific/Port_Moresby
AOB,airport,Annanberg,Pacific/Port_Moresby
AON,city,Arona,Pacific/Port_Moresby
AON,airport,Arona,Pacific/Port_Moresby
APP,city,Asapa,Pacific/Port_Moresby
APP,airport,Asapa,Pacific/Port_Moresby
APR,city,April River,Pacific/Port_Moresby
APR,airport,April River,Pacific/Port_Moresby
ARP,city,Aragip,Pacific/Port_Moresby
ARP,airport,Aragip,Pacific/Port_Moresby
ASZ,city,Asirim,Pacific/Port_Moresby
ASZ,airport,Asirim,Pacific/Port_Moresby
ATN,city,Namatanai,Pacific/Port_Moresby
ATN,airport,Namatanai,Pacific/Port_Moresby
ATP,city,Aitape,Pacific/Port_Moresby
ATP,airport,Airstrip,Pacific/Port_Moresby
AUI,city,Aua Island,Pacific/Port_Moresby
AUI,airport,Aua Island,Pacific/Port_Moresby
AUJ,city,Ambunti,Pacific/Port_Moresby
AUJ,airport,Ambunti,Pacific/Port_Moresby
AUP,city,Agaun,Pacific/Port_Moresby
AUP,airport,Agaun,Pacific/Port_Moresby
AUV,city,Aumo,Pacific/Port_Moresby
AUV,airport,Aumo,Pacific/Port_Moresby
AWR,city,Awar,Pacific/Port_Moresby
AWR,airport,Awar,Pacific/Port_Moresby
AYU,city,Aiyura,Pacific/Port_Moresby
AYU,airport,Aiyura,Pacific/Port_Moresby
AZB,city,Amazon Bay,Pacific/Port_Moresby
AZB,airport,Amazon Bay,Pacific/Port_Moresby
BCP,city,Bambu,Pacific/Port_Moresby
BCP,airport,Bambu,Pacific/Port_Moresby
BDZ,city,Baindoung,Pacific/Port_Moresby
BDZ,airport,Baindoung,Pacific/Port_Moresby
BEA,city,Bereina,Pacific/Port_Moresby
BEA,airport,Bereina,Pacific/Port_Moresby
BIJ,city,Biliau,Pacific/Port_Moresby
BIJ,airport,Biliau,Pacific/Port_Moresby
BIZ,city,Bimin,Pacific/Port_Moresby
BIZ,airport,Bimin,Pacific/Port_Moresby
BNM,city,Bodinumu,Pacific/Port_Moresby
BNM,airport,Bodinumu,Pacific/Port_Moresby
BNT,city,Bundi,Pacific/Port_Moresby
BNT,airport,Bundi,Pacific/Port_Moresby
BNV,city,Boana,Pacific/Port_Moresby
BNV,airport,Boana,Pacific/Port_Moresby
BNZ,city,Banz,Pacific/Port_Moresby
BNZ,airport,Banz,Pacific/Port_Moresby
BOQ,city,Boku,Pacific/Port_Moresby
BOQ,airport,Boku,Pacific/Port_Moresby
BOT,city,Boset,Pacific/Port_Moresby
